policy_count,broad_policy_count,has_admin_access,has_full_access,api_call_count,service_count,inactive_days,odd_hour_activity,rare_activity,unused_service_count,risk
1,0,0,0,150,5,0,0,0,0,LOW
1,0,0,0,120,4,1,0,0,0,LOW
2,0,0,0,100,4,2,0,0,0,LOW
2,1,0,1,80,3,2,0,0,1,MEDIUM
2,1,0,1,50,3,5,0,0,2,MEDIUM
3,1,0,1,40,2,7,0,1,3,MEDIUM
3,2,1,1,20,2,5,0,1,4,HIGH
3,2,1,1,10,1,10,1,1,5,HIGH
3,2,1,1,2,1,0,1,1,5,HIGH
4,3,1,1,5,1,20,1,1,7,HIGH
1,0,0,0,200,6,0,0,0,0,LOW
2,0,0,0,180,5,1,0,0,0,LOW
2,1,0,1,90,4,3,0,0,1,MEDIUM
3,1,0,1,70,3,4,0,1,2,MEDIUM
3,2,1,1,30,2,8,1,1,4,HIGH
3,2,1,1,15,1,12,1,1,6,HIGH
1,0,0,0,250,7,0,0,0,0,LOW
2,1,0,1,60,3,6,0,0,2,MEDIUM
4,2,1,1,25,2,9,1,1,5,HIGH
2,0,0,0,140,5,1,0,0,0,LOW
3,1,0,1,75,4,3,0,0,1,MEDIUM
4,3,1,1,8,1,15,1,1,8,HIGH
1,0,0,0,300,8,0,0,0,0,LOW
2,1,0,1,45,2,7,0,1,3,MEDIUM
3,2,1,1,18,1,14,1,1,6,HIGH
2,0,0,0,110,4,2,0,0,0,LOW
3,1,0,1,55,3,5,0,0,2,MEDIUM
4,2,1,1,12,1,18,1,1,7,HIGH
1,0,0,0,220,6,0,0,0,0,LOW
2,1,0,1,65,3,4,0,0,2,MEDIUM
