permission_risk,usage_risk,orphan_risk,temporal_risk,admin_access,full_access_policies,policy_count,unused_permissions_pct,api_calls_7d,services_used,inactive_days,unusual_hour_access,new_source_ip,failed_auth_attempts,sensitive_actions,cross_service_access,identity_type,risk_score
78,69,62,86,0,0,4,22,34,5,23,0,0,2,2,8,AWS Service Identity,79.85
67,53,83,8,0,0,3,95,38,11,158,1,0,1,1,10,IAM User,97.63
93,100,64,75,0,1,6,42,17,2,73,0,0,3,0,8,AWS Service Identity,85.93
97,77,60,51,0,0,8,89,33,5,8,0,1,1,1,5,IAM Role,85.31
71,1,47,76,0,1,8,81,30,15,179,0,0,1,1,6,IAM User,83.67
37,38,24,45,0,3,4,34,29,2,140,0,0,0,1,3,Unknown,61.97
60,29,28,15,0,1,7,95,19,15,147,0,0,0,0,5,AWS Service Identity,74.23
42,59,75,75,0,1,6,78,28,8,26,0,0,1,3,4,AWS Service Identity,71.86
63,26,7,63,0,0,1,12,21,11,135,0,0,2,1,1,IAM User,63.56
82,97,8,46,0,0,7,9,37,5,126,0,0,0,3,9,IAM User,74.53
37,30,40,37,0,5,3,12,30,5,163,0,0,0,2,1,IAM User,69.41
51,52,78,34,0,3,5,74,30,6,67,0,0,3,3,2,AWS Service Identity,76.28
4,12,66,48,0,0,6,14,25,2,167,0,0,0,2,2,IAM Role,48.55
74,91,59,26,0,1,8,28,17,5,128,1,0,0,1,2,AWS Service Identity,72.99
49,92,53,28,0,0,8,43,27,14,45,0,0,1,1,5,IAM User,69.68
46,80,11,28,0,0,7,13,27,0,38,0,0,1,1,10,IAM User,50.03
53,35,33,1,0,0,4,33,40,9,163,0,1,2,3,3,IAM Role,72.74
21,5,8,93,0,0,3,68,30,11,116,0,0,1,1,8,IAM User,65.84
60,71,76,23,0,3,3,98,22,2,21,0,0,2,1,8,AWS Service Identity,75.56
75,43,75,16,0,0,8,47,23,1,22,0,0,3,4,8,IAM Role,72.33
35,100,26,15,0,0,1,75,22,8,149,0,0,1,1,6,AWS Service Identity,63.62
13,70,29,99,0,0,4,53,31,3,30,0,0,1,0,8,IAM User,56.38
39,54,32,48,0,0,6,47,24,15,39,0,0,2,4,8,Unknown,80.49
20,99,89,33,0,2,0,52,26,3,111,0,0,3,0,7,AWS Service Identity,76.7
37,80,49,40,0,0,5,96,22,2,156,1,0,1,1,6,AWS Service Identity,68.17
63,46,76,8,0,0,2,6,21,5,60,0,0,1,3,1,IAM User,60.88
11,1,45,31,0,0,2,51,18,5,120,0,0,1,5,5,IAM User,64.19
75,9,70,25,0,0,5,5,22,2,127,0,0,0,2,8,IAM User,65.12
22,44,53,81,0,1,0,88,36,10,108,0,0,4,1,3,IAM User,77.46
90,56,28,5,0,1,1,60,23,5,124,0,0,1,0,2,IAM Role,65.65
73,3,88,42,0,0,4,4,18,8,41,0,0,1,0,6,IAM Role,61.33
27,12,71,79,0,0,5,63,31,3,112,0,0,2,4,1,Unknown,66.25
56,71,77,84,0,0,0,44,20,1,0,0,0,1,2,7,IAM User,78.22
11,75,95,51,0,0,3,4,28,0,132,0,0,4,2,10,IAM User,76.82
10,3,25,22,0,1,2,98,13,0,143,0,0,2,1,5,IAM User,46.22
96,51,9,34,0,2,4,38,30,13,143,0,0,1,2,0,IAM User,82.81
81,8,58,22,0,0,2,2,19,4,5,0,0,1,2,2,IAM User,48.24
15,73,32,66,0,0,0,61,34,4,164,0,0,1,3,0,IAM User,65.66
28,84,44,29,0,0,4,37,15,9,78,0,0,1,0,5,IAM User,59.3
19,87,23,63,0,1,7,66,28,1,14,0,0,1,1,3,IAM Role,53.43
39,60,40,66,0,0,5,16,32,9,96,0,0,1,1,8,IAM User,64.48
29,63,39,94,0,0,3,83,22,8,103,0,0,1,4,9,AWS Service Identity,75.38
33,93,35,37,1,0,4,42,22,12,72,0,0,2,1,4,IAM Role,76.18
53,61,74,97,0,1,1,42,30,1,135,0,1,2,1,10,IAM User,91.07
19,45,59,40,0,0,2,81,29,0,98,0,0,1,0,4,AWS Service Identity,36.76
89,76,47,68,0,0,3,55,26,12,39,0,0,2,1,1,AWS Service Identity,74.46
73,59,11,66,1,1,5,0,26,5,112,0,0,4,3,9,IAM User,99.3
76,85,57,82,0,1,4,58,19,0,47,0,0,2,0,4,IAM User,81.16
17,52,17,47,0,0,8,65,22,8,21,1,0,1,0,9,IAM Role,51.97
71,87,31,80,0,1,5,31,20,7,48,0,0,0,0,8,IAM User,76.97
